Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/aidata/besas/models/all4one300.tflite
Output: /content/drive/MyDrive/aidata/besas/models/all4one300_edgetpu.tflite

Operator                       Count      Status

DEQUANTIZE                     2          Operation is working on an unsupported data type
CONV_2D                        128        Mapped to Edge TPU
QUANTIZE                       1          Mapped to Edge TPU
LOGISTIC                       1          Mapped to Edge TPU
MAX_POOL_2D                    22         Mapped to Edge TPU
ADD                            69         Mapped to Edge TPU
CUSTOM                         1          Operation is working on an unsupported data type
RESHAPE                        10         Mapped to Edge TPU
CONCATENATION                  2          Mapped to Edge TPU
DEPTHWISE_CONV_2D              101        Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        20         Mapped to Edge TPU
